Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Offers Regression,Chrome 79.0.3945.130,,,2020-02-04 07:52:28,2020-02-04 07:54:53,2m - 25.559s,PASSED
,,,,,,,
Test Cases/Test Scenarios/Modules/Login/GSM Login,Chrome 79.0.3945.130,,,2020-02-04 07:52:28,2020-02-04 07:53:07,38.650s,PASSED
"openBrowser("""")",Chrome 79.0.3945.130,,,2020-02-04 07:52:30,2020-02-04 07:52:39,8.943s,PASSED
navigateToUrl(url),Chrome 79.0.3945.130,,,2020-02-04 07:52:39,2020-02-04 07:52:53,14.022s,PASSED
maximizeWindow(),Chrome 79.0.3945.130,,,2020-02-04 07:52:53,2020-02-04 07:52:57,4.257s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Email Address_email""), username)",Chrome 79.0.3945.130,,,2020-02-04 07:52:57,2020-02-04 07:52:58,0.772s,PASSED
delay(2),Chrome 79.0.3945.130,,,2020-02-04 07:52:58,2020-02-04 07:53:00,2.043s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Password_password""), password)",Chrome 79.0.3945.130,,,2020-02-04 07:53:00,2020-02-04 07:53:01,0.685s,PASSED
"click(findTestObject(""Object Repository/GSM Login/Page_GSM Login/button_Log In""))",Chrome 79.0.3945.130,,,2020-02-04 07:53:01,2020-02-04 07:53:02,1.021s,PASSED
delay(5),Chrome 79.0.3945.130,,,2020-02-04 07:53:02,2020-02-04 07:53:07,5.005s,PASSED
,,,,,,,
Test Cases/Test Scenarios/Modules/Content Management/OFFERS/Create Offer,Chrome 79.0.3945.130,,,2020-02-04 07:53:07,2020-02-04 07:54:09,1m - 1.929s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Dashboard/div_Content""))",Chrome 79.0.3945.130,,,2020-02-04 07:53:11,2020-02-04 07:53:20,9.533s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Templates/a_Offers""))",Chrome 79.0.3945.130,,,2020-02-04 07:53:20,2020-02-04 07:53:23,2.505s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_New Offer""))",Chrome 79.0.3945.130,,,2020-02-04 07:53:23,2020-02-04 07:53:31,7.888s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Offer Name_name""), OfferName)",Chrome 79.0.3945.130,,,2020-02-04 07:53:31,2020-02-04 07:53:39,8.559s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Marketing Category_marketingCategory""))",Chrome 79.0.3945.130,,,2020-02-04 07:53:39,2020-02-04 07:53:40,0.883s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Offer Description_description""), OfferDescription)",Chrome 79.0.3945.130,,,2020-02-04 07:53:40,2020-02-04 07:53:43,2.579s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Objects set to expire will be automatically archived_expiration""), Expiration)",Chrome 79.0.3945.130,,,2020-02-04 07:53:43,2020-02-04 07:53:44,1.482s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Select""))",Chrome 79.0.3945.130,,,2020-02-04 07:53:44,2020-02-04 07:53:45,0.988s,PASSED
