Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Offers Regression,Chrome 79.0.3945.130,,,2020-02-03 18:16:23,2020-02-03 18:18:00,1m - 36.961s,PASSED
,,,,,,,
Test Cases/Test Scenarios/Modules/Login/GSM Login,Chrome 79.0.3945.130,,,2020-02-03 18:16:24,2020-02-03 18:16:55,30.836s,PASSED
"openBrowser("""")",Chrome 79.0.3945.130,,,2020-02-03 18:16:27,2020-02-03 18:16:35,7.954s,PASSED
navigateToUrl(url),Chrome 79.0.3945.130,,,2020-02-03 18:16:35,2020-02-03 18:16:41,5.882s,PASSED
maximizeWindow(),Chrome 79.0.3945.130,,,2020-02-03 18:16:41,2020-02-03 18:16:45,4.259s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Email Address_email""), username)",Chrome 79.0.3945.130,,,2020-02-03 18:16:45,2020-02-03 18:16:46,0.851s,PASSED
delay(2),Chrome 79.0.3945.130,,,2020-02-03 18:16:46,2020-02-03 18:16:48,2.063s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Password_password""), password)",Chrome 79.0.3945.130,,,2020-02-03 18:16:48,2020-02-03 18:16:49,0.690s,PASSED
"click(findTestObject(""Object Repository/GSM Login/Page_GSM Login/button_Log In""))",Chrome 79.0.3945.130,,,2020-02-03 18:16:49,2020-02-03 18:16:50,0.966s,PASSED
delay(5),Chrome 79.0.3945.130,,,2020-02-03 18:16:50,2020-02-03 18:16:55,5.008s,PASSED
,,,,,,,
Test Cases/Test Scenarios/Modules/Content Management/OFFERS/Create Offer,Chrome 79.0.3945.130,,,2020-02-03 18:16:55,2020-02-03 18:17:29,34.577s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Dashboard/div_Content""))",Chrome 79.0.3945.130,,,2020-02-03 18:16:56,2020-02-03 18:16:58,1.299s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Templates/a_Offers""))",Chrome 79.0.3945.130,,,2020-02-03 18:16:58,2020-02-03 18:17:03,5.106s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_New Offer""))",Chrome 79.0.3945.130,,,2020-02-03 18:17:03,2020-02-03 18:17:07,3.889s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Offer Name_name""), OfferName)",Chrome 79.0.3945.130,,,2020-02-03 18:17:07,2020-02-03 18:17:10,2.720s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Marketing Category_marketingCategory""))",Chrome 79.0.3945.130,,,2020-02-03 18:17:10,2020-02-03 18:17:10,0.886s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Offer Description_description""), OfferDescription)",Chrome 79.0.3945.130,,,2020-02-03 18:17:10,2020-02-03 18:17:13,2.481s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Objects set to expire will be automatically archived_expiration""), Expiration)",Chrome 79.0.3945.130,,,2020-02-03 18:17:13,2020-02-03 18:17:14,1.167s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Select""))",Chrome 79.0.3945.130,,,2020-02-03 18:17:14,2020-02-03 18:17:15,0.673s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_English (US)""))",Chrome 79.0.3945.130,,,2020-02-03 18:17:15,2020-02-03 18:17:16,0.935s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Next""))",Chrome 79.0.3945.130,,,2020-02-03 18:17:16,2020-02-03 18:17:16,0.720s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Title_title""), Title)",Chrome 79.0.3945.130,,,2020-02-03 18:17:16,2020-02-03 18:17:21,4.388s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Subtitle_subtitle""), Subtitle)",Chrome 79.0.3945.130,,,2020-02-03 18:17:21,2020-02-03 18:17:22,1.520s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Body_body""), Body)",Chrome 79.0.3945.130,,,2020-02-03 18:17:22,2020-02-03 18:17:24,1.381s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Offer_offer""), OfferValue)",Chrome 79.0.3945.130,,,2020-02-03 18:17:24,2020-02-03 18:17:25,1.782s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Select_1""))",Chrome 79.0.3945.130,,,2020-02-03 18:17:25,2020-02-03 18:17:26,0.869s,PASSED
