Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Offers Regression,Chrome 79.0.3945.130,,,2020-02-03 15:29:16,2020-02-03 15:30:48,1m - 32.480s,PASSED
,,,,,,,
Test Cases/Test Scenarios/Modules/Login/GSM Login,Chrome 79.0.3945.130,,,2020-02-03 15:29:16,2020-02-03 15:29:46,29.960s,PASSED
"openBrowser("""")",Chrome 79.0.3945.130,,,2020-02-03 15:29:18,2020-02-03 15:29:25,7.292s,PASSED
navigateToUrl(url),Chrome 79.0.3945.130,,,2020-02-03 15:29:25,2020-02-03 15:29:33,7.732s,PASSED
maximizeWindow(),Chrome 79.0.3945.130,,,2020-02-03 15:29:33,2020-02-03 15:29:37,4.220s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Email Address_email""), username)",Chrome 79.0.3945.130,,,2020-02-03 15:29:37,2020-02-03 15:29:38,0.739s,PASSED
delay(2),Chrome 79.0.3945.130,,,2020-02-03 15:29:38,2020-02-03 15:29:40,2.035s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Password_password""), password)",Chrome 79.0.3945.130,,,2020-02-03 15:29:40,2020-02-03 15:29:40,0.547s,PASSED
"click(findTestObject(""Object Repository/GSM Login/Page_GSM Login/button_Log In""))",Chrome 79.0.3945.130,,,2020-02-03 15:29:40,2020-02-03 15:29:41,0.632s,PASSED
delay(5),Chrome 79.0.3945.130,,,2020-02-03 15:29:41,2020-02-03 15:29:46,5.006s,PASSED
,,,,,,,
Test Cases/Test Scenarios/Modules/Content Management/OFFERS/Create Offer,Chrome 79.0.3945.130,,,2020-02-03 15:29:46,2020-02-03 15:30:18,31.589s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Dashboard/div_Content""))",Chrome 79.0.3945.130,,,2020-02-03 15:29:47,2020-02-03 15:29:50,2.382s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Templates/a_Offers""))",Chrome 79.0.3945.130,,,2020-02-03 15:29:50,2020-02-03 15:29:54,4.559s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_New Offer""))",Chrome 79.0.3945.130,,,2020-02-03 15:29:54,2020-02-03 15:29:56,1.464s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Offer Name_name""), OfferName)",Chrome 79.0.3945.130,,,2020-02-03 15:29:56,2020-02-03 15:29:59,3.782s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Marketing Category_marketingCategory""))",Chrome 79.0.3945.130,,,2020-02-03 15:29:59,2020-02-03 15:30:00,0.720s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Offer Description_description""), OfferDescription)",Chrome 79.0.3945.130,,,2020-02-03 15:30:00,2020-02-03 15:30:02,1.820s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Objects set to expire will be automatically archived_expiration""), Expiration)",Chrome 79.0.3945.130,,,2020-02-03 15:30:02,2020-02-03 15:30:03,0.886s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Select""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:03,2020-02-03 15:30:03,0.607s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_English (US)""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:03,2020-02-03 15:30:04,0.739s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Next""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:04,2020-02-03 15:30:05,0.702s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Title_title""), Title)",Chrome 79.0.3945.130,,,2020-02-03 15:30:05,2020-02-03 15:30:11,5.735s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Subtitle_subtitle""), Subtitle)",Chrome 79.0.3945.130,,,2020-02-03 15:30:11,2020-02-03 15:30:12,1.185s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Body_body""), Body)",Chrome 79.0.3945.130,,,2020-02-03 15:30:12,2020-02-03 15:30:13,1.173s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Offer_offer""), OfferValue)",Chrome 79.0.3945.130,,,2020-02-03 15:30:13,2020-02-03 15:30:14,1.544s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Select_1""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:14,2020-02-03 15:30:15,0.710s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_No Expiration Date""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:15,2020-02-03 15:30:16,0.765s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Terms  Conditions_termsAndConditions""), TermsAndConditions)",Chrome 79.0.3945.130,,,2020-02-03 15:30:16,2020-02-03 15:30:17,1.042s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Create""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:17,2020-02-03 15:30:18,0.723s,PASSED
,,,,,,,
Test Cases/Test Scenarios/Modules/Content Management/OFFERS/Edit Offer,Chrome 79.0.3945.130,,,2020-02-03 15:30:18,2020-02-03 15:30:33,15.772s,PASSED
"click(findTestObject(""Edit Offer/Page_Dashboard/div_Content""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:18,2020-02-03 15:30:18,0.002s,NOT_RUN
"click(findTestObject(""Create Offer/Page_Templates/a_Offers""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:18,2020-02-03 15:30:18,0.001s,NOT_RUN
"click(findTestObject(""hamburger""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:18,2020-02-03 15:30:23,5.187s,PASSED
"click(findTestObject(""Edit Offer/Page_Offers/edit""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:23,2020-02-03 15:30:24,0.676s,PASSED
"click(findTestObject(""Edit Offer/Page_Offers/button_Yes Edit""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:24,2020-02-03 15:30:25,1.080s,PASSED
"click(findTestObject(""Create Offer/Page_Offers/radiobutton_Retention""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:25,2020-02-03 15:30:29,3.795s,PASSED
"click(findTestObject(""Object Repository/Edit Offer/Page_Offers/button_Next""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:29,2020-02-03 15:30:29,0.684s,PASSED
"click(findTestObject(""Object Repository/Edit Offer/Page_Offers/button_Make Active""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:29,2020-02-03 15:30:33,3.335s,PASSED
"click(findTestObject(""Object Repository/Edit Offer/Page_Offers/button_Yes Make Active""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:33,2020-02-03 15:30:33,0.718s,PASSED
,,,,,,,
Test Cases/Test Scenarios/Modules/Content Management/OFFERS/Delete Offer,Chrome 79.0.3945.130,,,2020-02-03 15:30:33,2020-02-03 15:30:41,7.637s,PASSED
"click(findTestObject(""Create Offer/Page_Dashboard/div_Content""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:34,2020-02-03 15:30:34,0.001s,NOT_RUN
"click(findTestObject(""Create Offer/Page_Templates/a_Offers""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:34,2020-02-03 15:30:34,0.001s,NOT_RUN
"click(findTestObject(""hamburger""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:34,2020-02-03 15:30:39,5.537s,PASSED
"click(findTestObject(""Delete Offer/delete""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:39,2020-02-03 15:30:40,0.675s,PASSED
"click(findTestObject(""Object Repository/Delete Offer/Page_Offers/button_Yes""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:40,2020-02-03 15:30:41,1.150s,PASSED
,,,,,,,
Test Cases/Test Scenarios/Modules/Logout/GSM Logout,Chrome 79.0.3945.130,,,2020-02-03 15:30:41,2020-02-03 15:30:48,7.110s,PASSED
"click(findTestObject(""GSM Logout/Page_Templates/a_Help_user-panel-dropdown-4""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:41,2020-02-03 15:30:47,6.139s,PASSED
"click(findTestObject(""GSM Logout/Page_Templates/a_Log Out""))",Chrome 79.0.3945.130,,,2020-02-03 15:30:47,2020-02-03 15:30:48,0.765s,PASSED
