Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Offers Regression,Chrome 79.0.3945.130,,,2020-02-03 15:18:55,2020-02-03 15:19:57,1m - 1.783s,FAILED
,,,,,,,
Test Cases/Test Scenarios/Modules/Login/GSM Login,Chrome 79.0.3945.130,,,2020-02-03 15:18:56,2020-02-03 15:19:26,30.061s,PASSED
"openBrowser("""")",Chrome 79.0.3945.130,,,2020-02-03 15:18:58,2020-02-03 15:19:06,7.471s,PASSED
navigateToUrl(url),Chrome 79.0.3945.130,,,2020-02-03 15:19:06,2020-02-03 15:19:13,6.808s,PASSED
maximizeWindow(),Chrome 79.0.3945.130,,,2020-02-03 15:19:13,2020-02-03 15:19:17,4.179s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Email Address_email""), username)",Chrome 79.0.3945.130,,,2020-02-03 15:19:17,2020-02-03 15:19:18,0.737s,PASSED
delay(2),Chrome 79.0.3945.130,,,2020-02-03 15:19:18,2020-02-03 15:19:20,2.038s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Password_password""), password)",Chrome 79.0.3945.130,,,2020-02-03 15:19:20,2020-02-03 15:19:20,0.548s,PASSED
"click(findTestObject(""Object Repository/GSM Login/Page_GSM Login/button_Log In""))",Chrome 79.0.3945.130,,,2020-02-03 15:19:20,2020-02-03 15:19:21,0.648s,PASSED
delay(5),Chrome 79.0.3945.130,,,2020-02-03 15:19:21,2020-02-03 15:19:26,5.005s,PASSED
,,,,,,,
Test Cases/Test Scenarios/Modules/Content Management/OFFERS/Create Offer,Chrome 79.0.3945.130,,,2020-02-03 15:19:26,2020-02-03 15:19:55,28.839s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Dashboard/div_Content""))",Chrome 79.0.3945.130,,,2020-02-03 15:19:27,2020-02-03 15:19:28,1.575s,PASSED
