Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Offers Regression,Chrome 79.0.3945.130,,,2020-02-03 15:11:43,2020-02-03 15:14:55,3m - 11.474s,PASSED
,,,,,,,
Test Cases/Test Scenarios/Modules/Login/GSM Login,Chrome 79.0.3945.130,,,2020-02-03 15:11:43,2020-02-03 15:13:07,1m - 23.892s,PASSED
"openBrowser("""")",Chrome 79.0.3945.130,,,2020-02-03 15:11:45,2020-02-03 15:11:53,7.668s,PASSED
navigateToUrl(url),Chrome 79.0.3945.130,,,2020-02-03 15:11:53,2020-02-03 15:12:54,1m - 1.193s,PASSED
maximizeWindow(),Chrome 79.0.3945.130,,,2020-02-03 15:12:54,2020-02-03 15:12:58,4.197s,PASSED
"click(findTestObject(""Object Repository/GSM Login/Page_GSM Portal/button_Log in""))",Chrome 79.0.3945.130,,,2020-02-03 15:12:58,2020-02-03 15:12:58,0.004s,NOT_RUN
delay(3),Chrome 79.0.3945.130,,,2020-02-03 15:12:58,2020-02-03 15:12:58,0.002s,NOT_RUN
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Email Address_email""), username)",Chrome 79.0.3945.130,,,2020-02-03 15:12:58,2020-02-03 15:12:59,0.807s,PASSED
delay(2),Chrome 79.0.3945.130,,,2020-02-03 15:12:59,2020-02-03 15:13:01,2.036s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Password_password""), password)",Chrome 79.0.3945.130,,,2020-02-03 15:13:01,2020-02-03 15:13:02,0.551s,PASSED
"click(findTestObject(""Object Repository/GSM Login/Page_GSM Login/button_Log In""))",Chrome 79.0.3945.130,,,2020-02-03 15:13:02,2020-02-03 15:13:02,0.598s,PASSED
delay(5),Chrome 79.0.3945.130,,,2020-02-03 15:13:02,2020-02-03 15:13:07,5.005s,PASSED
"verifyElementText(findTestObject(""GSM Login/div_Welcome Sankaran""), ""Welcome, Sankaran"")",Chrome 79.0.3945.130,,,2020-02-03 15:13:07,2020-02-03 15:13:07,0.005s,NOT_RUN
,,,,,,,
Test Cases/Test Scenarios/Modules/Content Management/OFFERS/Create Offer,Chrome 79.0.3945.130,,,2020-02-03 15:13:07,2020-02-03 15:14:07,59.324s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Dashboard/div_Content""))",Chrome 79.0.3945.130,,,2020-02-03 15:13:08,2020-02-03 15:13:28,19.427s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Templates/a_Offers""))",Chrome 79.0.3945.130,,,2020-02-03 15:13:28,2020-02-03 15:13:41,12.767s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_New Offer""))",Chrome 79.0.3945.130,,,2020-02-03 15:13:41,2020-02-03 15:13:42,1.837s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Offer Name_name""), OfferName)",Chrome 79.0.3945.130,,,2020-02-03 15:13:42,2020-02-03 15:13:50,7.127s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Marketing Category_marketingCategory""))",Chrome 79.0.3945.130,,,2020-02-03 15:13:50,2020-02-03 15:13:50,0.663s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Offer Description_description""), OfferDescription)",Chrome 79.0.3945.130,,,2020-02-03 15:13:50,2020-02-03 15:13:52,2.313s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Objects set to expire will be automatically archived_expiration""), Expiration)",Chrome 79.0.3945.130,,,2020-02-03 15:13:52,2020-02-03 15:13:53,0.759s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Select""))",Chrome 79.0.3945.130,,,2020-02-03 15:13:53,2020-02-03 15:13:54,0.553s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_English (US)""))",Chrome 79.0.3945.130,,,2020-02-03 15:13:54,2020-02-03 15:13:54,0.691s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Next""))",Chrome 79.0.3945.130,,,2020-02-03 15:13:54,2020-02-03 15:13:55,0.679s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Title_title""), Title)",Chrome 79.0.3945.130,,,2020-02-03 15:13:55,2020-02-03 15:14:00,4.412s,PASSED
